model,shots,book,answer,ground_truth_stem
mistral:7b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","True (Although primarily a work of fiction, Harry Potter and the Goblet of Fire does incorporate elements of science, technology, engineering, and mathematics, such as potions brewing, spell casting, and magical inventions.)",False
mistral:7b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","True (since Harry Potter and the Goblet of Fire involves magic and witchcraft, which can be considered a part of science fiction and fantasy, and these genres often incorporate elements of mathematics, physics, and other sciences to some extent)",False
gemma3:12b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gemma3:12b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gpt-oss:20b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,1,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gpt-oss:20b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gpt-oss:20b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,5,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",False,False
gpt-oss:20b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
gpt-oss:20b,10,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",false,False
llama3.2:1b,0,The Amazing World of Video Game Development,False,True
llama3.2:1b,0,The Amazing World of Video Game Development,False.,True
llama3.2:1b,0,The Amazing World of Video Game Development,False,True
llama3.2:1b,0,The Amazing World of Video Game Development,False.,True
llama3.2:1b,0,The Amazing World of Video Game Development,False.,True
llama3.2:1b,1,The Amazing World of Video Game Development,False,True
llama3.2:1b,1,The Amazing World of Video Game Development,False,True
llama3.2:1b,1,The Amazing World of Video Game Development,True,True
llama3.2:1b,1,The Amazing World of Video Game Development,True,True
llama3.2:1b,1,The Amazing World of Video Game Development,False,True
llama3.2:1b,5,The Amazing World of Video Game Development,"The answer is False for the following books:
- ""Who Gives a Poop?""
- ""Tuesdays with Morrie""
- ""The Dragon Slayers Apprentice""",True
llama3.2:1b,5,The Amazing World of Video Game Development,"The answer is:

True",True
llama3.2:1b,5,The Amazing World of Video Game Development,True,True
llama3.2:1b,5,The Amazing World of Video Game Development,The Amazing World of Video Game Development: True,True
llama3.2:1b,5,The Amazing World of Video Game Development,False,True
llama3.2:1b,10,The Amazing World of Video Game Development,"Here are the classifications:

1. True
2. False
3. True
4. False
5. True
6. False
7. True
8. False",True
llama3.2:1b,10,The Amazing World of Video Game Development,"Here are my classifications:

1. True
2. False
3. True
4. False
5. True
6. False
7. True
8. True
9. False",True
llama3.2:1b,10,The Amazing World of Video Game Development,True,True
llama3.2:1b,10,The Amazing World of Video Game Development,"True, False, True",True
llama3.2:1b,10,The Amazing World of Video Game Development,True.,True
mistral:7b,0,The Amazing World of Video Game Development,True,True
mistral:7b,0,The Amazing World of Video Game Development,True,True
mistral:7b,0,The Amazing World of Video Game Development,True,True
mistral:7b,0,The Amazing World of Video Game Development,True,True
mistral:7b,0,The Amazing World of Video Game Development,True,True
mistral:7b,1,The Amazing World of Video Game Development,True,True
mistral:7b,1,The Amazing World of Video Game Development,True,True
mistral:7b,1,The Amazing World of Video Game Development,True,True
mistral:7b,1,The Amazing World of Video Game Development,True,True
mistral:7b,1,The Amazing World of Video Game Development,True,True
mistral:7b,5,The Amazing World of Video Game Development,True,True
mistral:7b,5,The Amazing World of Video Game Development,True,True
mistral:7b,5,The Amazing World of Video Game Development,True,True
mistral:7b,5,The Amazing World of Video Game Development,True,True
mistral:7b,5,The Amazing World of Video Game Development,True,True
mistral:7b,10,The Amazing World of Video Game Development,True,True
mistral:7b,10,The Amazing World of Video Game Development,True,True
mistral:7b,10,The Amazing World of Video Game Development,True,True
mistral:7b,10,The Amazing World of Video Game Development,True,True
mistral:7b,10,The Amazing World of Video Game Development,True,True
gemma3:12b,0,The Amazing World of Video Game Development,True,True
gemma3:12b,0,The Amazing World of Video Game Development,True,True
gemma3:12b,0,The Amazing World of Video Game Development,True,True
gemma3:12b,0,The Amazing World of Video Game Development,True,True
gemma3:12b,0,The Amazing World of Video Game Development,True,True
gemma3:12b,1,The Amazing World of Video Game Development,True,True
gemma3:12b,1,The Amazing World of Video Game Development,True,True
gemma3:12b,1,The Amazing World of Video Game Development,True,True
gemma3:12b,1,The Amazing World of Video Game Development,True,True
gemma3:12b,1,The Amazing World of Video Game Development,True,True
gemma3:12b,5,The Amazing World of Video Game Development,True,True
gemma3:12b,5,The Amazing World of Video Game Development,True,True
gemma3:12b,5,The Amazing World of Video Game Development,True,True
gemma3:12b,5,The Amazing World of Video Game Development,True,True
gemma3:12b,5,The Amazing World of Video Game Development,True,True
gemma3:12b,10,The Amazing World of Video Game Development,True,True
gemma3:12b,10,The Amazing World of Video Game Development,True,True
gemma3:12b,10,The Amazing World of Video Game Development,True,True
gemma3:12b,10,The Amazing World of Video Game Development,True,True
gemma3:12b,10,The Amazing World of Video Game Development,True,True
gpt-oss:20b,0,The Amazing World of Video Game Development,true,True
gpt-oss:20b,0,The Amazing World of Video Game Development,true,True
gpt-oss:20b,0,The Amazing World of Video Game Development,true,True
gpt-oss:20b,0,The Amazing World of Video Game Development,true,True
gpt-oss:20b,0,The Amazing World of Video Game Development,true,True
gpt-oss:20b,1,The Amazing World of Video Game Development,true,True
gpt-oss:20b,1,The Amazing World of Video Game Development,true,True
gpt-oss:20b,1,The Amazing World of Video Game Development,True,True
gpt-oss:20b,1,The Amazing World of Video Game Development,true,True
gpt-oss:20b,1,The Amazing World of Video Game Development,true,True
gpt-oss:20b,5,The Amazing World of Video Game Development,true,True
gpt-oss:20b,5,The Amazing World of Video Game Development,true,True
gpt-oss:20b,5,The Amazing World of Video Game Development,true,True
gpt-oss:20b,5,The Amazing World of Video Game Development,True,True
gpt-oss:20b,5,The Amazing World of Video Game Development,true,True
gpt-oss:20b,10,The Amazing World of Video Game Development,true,True
gpt-oss:20b,10,The Amazing World of Video Game Development,True,True
gpt-oss:20b,10,The Amazing World of Video Game Development,true,True
gpt-oss:20b,10,The Amazing World of Video Game Development,True,True
gpt-oss:20b,10,The Amazing World of Video Game Development,true,True
llama3.2:1b,0,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,0,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,0,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,0,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,0,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,1,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,1,Transported: 50 Vehicles That Changed the World,False,True
llama3.2:1b,1,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,1,Transported: 50 Vehicles That Changed the World,False,True
llama3.2:1b,1,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,5,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,5,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,5,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,5,Transported: 50 Vehicles That Changed the World,True.,True
llama3.2:1b,5,Transported: 50 Vehicles That Changed the World,True,True
llama3.2:1b,10,Transported: 50 Vehicles That Changed the World,False.,True
llama3.2:1b,10,Transported: 50 Vehicles That Changed the World,True.,True
llama3.2:1b,10,Transported: 50 Vehicles That Changed the World,True,True
llama3.2:1b,10,Transported: 50 Vehicles That Changed the World,True.,True
llama3.2:1b,10,Transported: 50 Vehicles That Changed the World,False.,True
mistral:7b,0,Transported: 50 Vehicles That Changed the World,"False, the book ""Transported: 50 Vehicles That Changed the World"" is not strictly classified as a STEM (Science, Technology, Engineering, Mathematics) book. However, it does contain elements related to technology and engineering.",True
mistral:7b,0,Transported: 50 Vehicles That Changed the World,False,True
mistral:7b,0,Transported: 50 Vehicles That Changed the World,"False. While vehicles are often associated with engineering and technology, a book about vehicles that changed the world is more closely related to history than Science, Technology, Engineering, and Mathematics (STEM).",True
mistral:7b,0,Transported: 50 Vehicles That Changed the World,"False, it is not a STEM book. While vehicles involve some aspects of Science and Engineering, this book focuses primarily on historical and cultural aspects rather than scientific principles or technical details, making it more suitable for History or Social Studies categories.",True
mistral:7b,0,Transported: 50 Vehicles That Changed the World,"False. The book ""Transported: 50 Vehicles That Changed the World"" is not primarily focused on Science, Technology, Engineering, or Mathematics (STEM), but rather on the historical and societal impact of various vehicles. However, it may include elements of technology and engineering within the context of those vehicles.",True
mistral:7b,1,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,1,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,1,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,1,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,1,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,5,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,5,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,5,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,5,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,5,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,10,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,10,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,10,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,10,Transported: 50 Vehicles That Changed the World,True,True
mistral:7b,10,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,0,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,0,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,0,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,0,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,0,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,1,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,1,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,1,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,1,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,1,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,5,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,5,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,5,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,5,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,5,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,10,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,10,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,10,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,10,Transported: 50 Vehicles That Changed the World,True,True
gemma3:12b,10,Transported: 50 Vehicles That Changed the World,True,True
gpt-oss:20b,0,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,0,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,0,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,0,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,0,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,1,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,1,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,1,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,1,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,1,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,5,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,5,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,5,Transported: 50 Vehicles That Changed the World,True,True
gpt-oss:20b,5,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,5,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,10,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,10,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,10,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,10,Transported: 50 Vehicles That Changed the World,true,True
gpt-oss:20b,10,Transported: 50 Vehicles That Changed the World,true,True
llama3.2:1b,0,Number the Stars,True.,False
llama3.2:1b,0,Number the Stars,False,False
llama3.2:1b,0,Number the Stars,True,False
llama3.2:1b,0,Number the Stars,False,False
llama3.2:1b,0,Number the Stars,False.,False
llama3.2:1b,1,Number the Stars,False,False
llama3.2:1b,1,Number the Stars,False.,False
llama3.2:1b,1,Number the Stars,False,False
llama3.2:1b,1,Number the Stars,True,False
llama3.2:1b,1,Number the Stars,False,False
llama3.2:1b,5,Number the Stars,"1. True
2. False
3. True
4. True",False
llama3.2:1b,5,Number the Stars,"1. True
2. False
3. True
4. True",False
llama3.2:1b,5,Number the Stars,"1. True
2. False
3. True
4. False",False
llama3.2:1b,5,Number the Stars,"1. True
2. False
3. True
4. True
5. False
6. True",False
llama3.2:1b,5,Number the Stars,"1. True
2. False
3. False
4. True
5. True",False
llama3.2:1b,10,Number the Stars,"1. True
2. False
3. True
4. False
5. False
6. True
7. False",False
llama3.2:1b,10,Number the Stars,"1. False
2. True
3. False
4. True
5. False
6. True",False
llama3.2:1b,10,Number the Stars,"1. True
2. False
3. True
4. False
5. True
6. False
7. False",False
llama3.2:1b,10,Number the Stars,"1. False
2. True
3. True
4. True
5. True
6. False",False
llama3.2:1b,10,Number the Stars,"1. True
2. False
3. True
4. False
5. False
6. False
7. True",False
mistral:7b,0,Number the Stars,"False, ""Number the Stars"" is not a STEM book. It primarily focuses on history and humanities, particularly World War II and the Holocaust.",False
mistral:7b,0,Number the Stars,"False. The book ""Number the Stars"" is not a STEM (Science, Technology, Engineering, Mathematics) book. It primarily focuses on historical events and human relationships during World War II.",False
mistral:7b,0,Number the Stars,"False. The book ""Number the Stars"" is not STEM (Science, Technology, Engineering, Mathematics). It primarily focuses on historical events and human relationships during World War II.",False
mistral:7b,0,Number the Stars,"False, ""Number the Stars"" is not a STEM book. It falls under the genre of historical fiction.",False
mistral:7b,0,Number the Stars,"False. ""Number the Stars"" is not a STEM book as it primarily focuses on historical events and human relationships, rather than Science, Technology, Engineering, or Mathematics.",False
mistral:7b,1,Number the Stars,False,False
mistral:7b,1,Number the Stars,False,False
mistral:7b,1,Number the Stars,False,False
mistral:7b,1,Number the Stars,False,False
mistral:7b,1,Number the Stars,False,False
mistral:7b,5,Number the Stars,False,False
mistral:7b,5,Number the Stars,False,False
mistral:7b,5,Number the Stars,False,False
mistral:7b,5,Number the Stars,False,False
mistral:7b,5,Number the Stars,False,False
mistral:7b,10,Number the Stars,False,False
mistral:7b,10,Number the Stars,False,False
mistral:7b,10,Number the Stars,False,False
mistral:7b,10,Number the Stars,False,False
mistral:7b,10,Number the Stars,False,False
gemma3:12b,0,Number the Stars,False,False
gemma3:12b,0,Number the Stars,False,False
gemma3:12b,0,Number the Stars,False,False
gemma3:12b,0,Number the Stars,False,False
gemma3:12b,0,Number the Stars,False,False
gemma3:12b,1,Number the Stars,False,False
gemma3:12b,1,Number the Stars,False,False
gemma3:12b,1,Number the Stars,False,False
gemma3:12b,1,Number the Stars,False,False
gemma3:12b,1,Number the Stars,False,False
gemma3:12b,5,Number the Stars,False,False
gemma3:12b,5,Number the Stars,False,False
gemma3:12b,5,Number the Stars,False,False
gemma3:12b,5,Number the Stars,False,False
gemma3:12b,5,Number the Stars,False,False
gemma3:12b,10,Number the Stars,False,False
gemma3:12b,10,Number the Stars,False,False
gemma3:12b,10,Number the Stars,False,False
gemma3:12b,10,Number the Stars,False,False
gemma3:12b,10,Number the Stars,False,False
gpt-oss:20b,0,Number the Stars,false,False
gpt-oss:20b,0,Number the Stars,false,False
gpt-oss:20b,0,Number the Stars,false,False
gpt-oss:20b,0,Number the Stars,false,False
gpt-oss:20b,0,Number the Stars,false,False
gpt-oss:20b,1,Number the Stars,false,False
gpt-oss:20b,1,Number the Stars,false,False
gpt-oss:20b,1,Number the Stars,false,False
gpt-oss:20b,1,Number the Stars,false,False
gpt-oss:20b,1,Number the Stars,false,False
gpt-oss:20b,5,Number the Stars,False,False
gpt-oss:20b,5,Number the Stars,false,False
gpt-oss:20b,5,Number the Stars,False,False
gpt-oss:20b,5,Number the Stars,false,False
gpt-oss:20b,5,Number the Stars,false,False
gpt-oss:20b,10,Number the Stars,false,False
gpt-oss:20b,10,Number the Stars,false,False
gpt-oss:20b,10,Number the Stars,false,False
gpt-oss:20b,10,Number the Stars,false,False
gpt-oss:20b,10,Number the Stars,false,False
llama3.2:1b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
llama3.2:1b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False.,True
llama3.2:1b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
mistral:7b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
mistral:7b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,False,True
mistral:7b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,"True (This book has elements related to physics and science, specifically time travel which is a concept from Einstein's theory of relativity.)",True
mistral:7b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,"True (The book deals with concepts related to physics, which falls under the umbrella of Science)",True
mistral:7b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
mistral:7b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,1,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,5,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gemma3:12b,10,Einstein: The Fantastic Journey of a Mouse Through Space and Time,True,True
gpt-oss:20b,0,Einstein: The Fantastic Journey of a Mouse Through Space and Time,false,True
